Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Min, B; Varadharajan, V",,,IEEE,"Min, Byungho; Varadharajan, Vijay",,,Design and Evaluation of Feature Distributed Malware Attacks against the Internet of Things (IoT),2015 20TH INTERNATIONAL CONFERENCE ON ENGINEERING OF COMPLEX COMPUTER SYSTEMS (ICECCS),IEEE International Conference on Engineering of Complex Computer Systems-ICECCS,,,,,,,,,Internet of Things; Smart Home; Cyber-Physical Systems; Malware; Security,,"In this paper, we analyse the Internet of Things (IoT) aspect of smart home from a security perspective, and adapt an advanced malware technique (called feature-distributed malware) for the IoT. We design several attacks including cyber-physical system attacks and advanced cyber attacks, and then evaluate their impact via practical evaluations. Our proposed offensive techniques are based on the following current smart home status: (1) almost every smart home appliance is directly or indirectly connected to the Internet for remote monitoring and/or control. (2) there are Internet services that integrate heterogeneous devices into one single smart home environment. These integration services make it easy and simple to build any form of customised smart home configurations. However, at the same time, such services also put the smart home at risk when they are compromised and abused by attackers, which means that the attackers can achieve their goals without needing to compromise individual smart home devices. Our evaluation results show that using traditional web attack techniques such as cookie stealing can be turned into sophisticated attacks that enable the attackers to perform various malicious activities such as unlocking the smart lock installed at the target premises and disarming security alarms. Considering existing research efforts on the smart home security are mainly about security analysis of individual devices and protocols, we believe this work will shed light on the practical implications of integrating the smart home with the Internet of things, therefore helping the development of more secure smart home environments in the future.",,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,80,89,,10.1109/ICECCS.2015.19,http://dx.doi.org/10.1109/ICECCS.2015.19,,,,"Computer Science, Information Systems; Computer Science, Theory & Methods; Engineering, Electrical & Electronic",,Computer Science; Engineering,,,,,,,,View Full Record in Web of Science
C,"Xie, ZL; Wan, CM; Zhang, L",,"Yarlagadda, P; Kim, YH",,"Xie, Zhenglan; Wan, Chuanmei; Zhang, Li",,,Research and Design of Smart Home System Based on ZigBee Technology,"INDUSTRIAL INSTRUMENTATION AND CONTROL SYSTEMS II, PTS 1-3",Applied Mechanics and Materials,,,,,,,,,ZigBee; Smart Home; embedded gateway Boa,,"Smart home system is the inevitable trend of home network in the future. In this article, it built one interior network of smart home system based on ZigBee technology, designed one Home gateway, and configured one embedded Web server Boa on the gateway to realize one interactive network inside and outside the smart home, to provide one solution forwidely adaptation and energy saving smart home system.",,,,,,,,,,,,,,,,,,,,,,,,,2013,336-338,,,,,,327,331,,10.4028/www.scientific.net/AMM.336-338.327,http://dx.doi.org/10.4028/www.scientific.net/AMM.336-338.327,,,,"Automation & Control Systems; Engineering, Mechanical; Instruments & Instrumentation",,Automation & Control Systems; Engineering; Instruments & Instrumentation,,,,,,,,View Full Record in Web of Science
C,"Zhong, BY; Hu, YN",,,IEEE,"Zhong, Biyuan; Hu, Yanni",,,Framework and Development Trend of Smart Home System Based on IDSS,2013 INTERNATIONAL CONFERENCE ON INFORMATION SCIENCE AND TECHNOLOGY (ICIST),International Conference on Information Science and Technology,,,,,,,,,,,"With the higher living standard, people have more and more requirements for smart home system. Accordingly, it is necessary to improve the intelligence of the system. The study firstly introduces the current situation of the smart home market, and analyzes the functions of the smart home system. Then, after discussing the advantages of IDSS (Intelligent Decision Support System), the study proposes an IDSS-based smart home system, and elaborates its operation processes. In the end, attempting to give the direction of its optimization, the study draws a future picture of the smart home system, such as standardization and combining with cloud technology.",,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,476,479,,,,,,,"Computer Science, Information Systems; Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Lee, EJ; Park, SJ",,,,"Lee, Eun Ji; Park, Sung Jun",,,A Framework of Smart-Home Service for Elderly's Biophilic Experience,SUSTAINABILITY,,,,,,,,,,elderly; biophilia; biophilic experience; smart home; smart-home service; service framework,HEALTH-CARE; IMMERSIVE TECHNOLOGY; ENVIRONMENT; STRESS; IMPACT; RECOVERY; AGE; WINDOWLESSNESS; INFORMATION; RESTORATION,"Smart-home technology and related services can reinforce a person's experiential nature, promoting sustainable living among the elderly. It is crucial in the housing industry that support Aging in Place, contributing to the contact, control, and simulation of nature at home as well as the creation of a high-quality living space instead of mechanical achievement. Further, biophilic experience, the strengthening of inherent human propensity to nature for optimal health and well-being, supports the elderly's physical, mental, and sociological health. However, despite the continuing emphasis on the benefits of residential nature experiences for the elderly, the application of smart-home technology and services is insufficient. This study presents a theoretical basis for combining biophilia and smart-home technology, providing a framework for smart-home services to ensure elderly residents can have biophilic experiences. In this study, smart-home components and related studies that can support the biophilic experience and the corresponding technology are analyzed. The results suggest the type and content of smart-home service for ensuring a biophilic experience, while also indicating the configuration of supportive input and output devices according to the service framework. Moreover, we recommend the interaction characteristics of smart-home devices from the perspective of residents, space, efficient service provision, and physical application. This paper broadens our understanding of the sustainable, residential-environment nature experience and informs the expansion of the aged-friendly smart-home industry, contributing to smart-home services trends and development.",,,,,,,,,,,,,,,,,,,,,,,,OCT,2020,12,20,,,,,,,8572,10.3390/su12208572,http://dx.doi.org/10.3390/su12208572,,,,Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies,,Science & Technology - Other Topics; Environmental Sciences & Ecology,,,,,,,,View Full Record in Web of Science
J,"Janjic, A; Velimirovic, L; Stankovic, M; Djordjevic, V",,,,"Janjic, Aleksandar; Velimirovic, Lazar; Stankovic, Miomir; Djordjevic, Vladimir",,,TRADE-OFF BETWEEN MULTIPLE CRITERIA IN SMART HOME CONTROL SYSTEM DESIGN,FACTA UNIVERSITATIS-SERIES ELECTRONICS AND ENERGETICS,,,,,,,,,,MAUT; decision making; multi criteria analysis; smart home; stochastic dominance,STOCHASTIC-DOMINANCE; MANAGEMENT-SYSTEM; SENSOR TECHNOLOGY,"The successful automation of a smart home relies on the ability of the smart home control system to organize, process, and analyze different sources of information, according to several criteria. Because of variety of key design criteria that every smart home of the future should meet, the main challenge is the trade-off between them in uncertain environment. In this paper, a problem of smart home design has been solved using the methodology based on multiplicative form of multi-attribute utility theory. Aggregated functions describing different smart home alternatives are compared using stochastic dominance principle. The aggregation of different criteria has been performed through their numerical convolution, unlike usual approach of pairwise comparison, allowing only the additive form of aggregation of individual criteria. The methodology is illustrated on the smart home controller parameter setting.",,,,,,,,,,,,,,,,,,,,,,,,MAR,2018,31,1,,,,,141,153,,10.2298/FUEE1801141J,http://dx.doi.org/10.2298/FUEE1801141J,,,,"Engineering, Electrical & Electronic",,Engineering,,,,,,,,View Full Record in Web of Science
J,"Ardito, L; Barbato, L; Mori, P; Saracino, A",,,,"Ardito, Luca; Barbato, Luca; Mori, Paolo; Saracino, Andrea",,,Preserving Privacy in the Globalized Smart Home The SIFIS-Home Project,IEEE SECURITY & PRIVACY,,,,,,,,,,,,"This article introduces the Secure Interoperable Full-Stack Internet of Things for Smart Home (SIFIS-Home) project, which defines and enforces privacy and security policies in a smart home environment. SIFIS-Home allows users to control data privacy and developers to provide privacy-aware services to mitigate the privacy risk of a globalized smart home by leveraging the concept of the smart home cyberperimeter.",,,,,,,,,,,,,,,,,,,,,,,,JAN-FEB,2022,20,1,,,,,33,44,,10.1109/MSEC.2021.3118561,http://dx.doi.org/10.1109/MSEC.2021.3118561,,,,"Computer Science, Information Systems; Computer Science, Software Engineering",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Kim, D; Lee, J",,,,"Kim, DaeYoub; Lee, Jihoon",,,A Reverse Hash Chain Path-Based Access Control Scheme for a Connected Smart Home System,IEEE CONSUMER ELECTRONICS MAGAZINE,,,,,,,,,,,BLOCKCHAIN; SECURITY,"As smart home systems increasingly utilize AI technology, a user-friendly and intelligent smart home system becomes increasingly popular. However, a home generally consists of various devices with different capabilities from different vendors. Hence, it is difficult to apply high-performance security solutions to such a smart home system. Recently, although a blockchain is mentioned as an alternative, it needs a high computation resource because of the mining process of proof of work (PoW). Therefore, to apply a blockchain to a smart home system, it is necessary to address such a high resource problem. This article proposes a reverse hash chain as an alternative PoW for a blockchain-based smart home authentication. Since this proposed scheme needs small numbers of hash value computations for PoW, a user can apply a blockchain to a smart home.",,,,,,,,,,,,,,,,,,,,,,,,Jan-01,2021,10,1,,,,,93,100,,10.1109/MCE.2020.3031064,http://dx.doi.org/10.1109/MCE.2020.3031064,,,,"Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic; Telecommunications",,Computer Science; Engineering; Telecommunications,,,,,,,,View Full Record in Web of Science
S,"Wang, WY; Chuang, CC; Lai, YS; Wang, YH",,"Enokido, T; Yan, L; Xiao, B; Kim, D; Dai, Y; Yang, LT",,"Wang, WY; Chuang, CC; Lai, YS; Wang, YH",,,A context-aware system for smart home applications,"EMBEDDED AND UBIQUITOUS COMPUTING - EUC 2005 WORKSHOPS, PROCEEDINGS",Lecture Notes in Computer Science,,,,,,,,,,,"Context-awareness is an important part for ubiquitous computing. Many applications of ubiquitous computing have to access some related contexts in order to provide the fight services at the fight time and the right places. However, there are some challenges for applications in ubiquitous computing, especially for those in smart home. These challenges make the design of smart home applications much more difficult than other applications. Therefore, we propose a context-aware system, CASSHA (Context-Aware System for Smart Home Applications), which is designed for smart home applications. CASSHA consists of the components for processing, representation, provision, and coordination, and is able to provide required contexts for smart home applications without conflicts. The system overcomes most of the technical challenges for smart home applications, and satisfies the requirements for these applications.",,,,,,,,,,,,,,,,,,,,,,,,,2005,3823,,,,,,298,305,,,,,,,"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
C,"Wei, L; Wei, L; Xin, L",,,IEEE,"Wei, Luo; Wei, Li; Xin, Li",,,Design and Implement On Smart Home System,2013 FOURTH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS DESIGN AND ENGINEERING APPLICATIONS,,,,,,,,,,component; Smart home system; Speech recognition; GSM; GPRS,,"Smart home system, makes home life more comfortable, more safe and more efficient by connecting application subsystem with each other. The disadvantages of ordinary home is not far to seek. Such as few functions, single interactive mode. Compared with ordinary home, smart home has many strengths, especially this smart home system. Our smart home system is composed of a lot of popular technology, for instance, speech recognition, GSM, GPRS, Sensors, camera, smart phone, etc. It is based on ARM platform and AT89s52 SCM. It is without a doubt, smart home system bring a cool experience to users.",,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,229,231,,10.1109/ISDEA.2013.456,http://dx.doi.org/10.1109/ISDEA.2013.456,,,,"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Software Engineering",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Johnson, JL; Davenport, R; Mann, WC",,,,"Johnson, Jessica L.; Davenport, Rick; Mann, William C.",,,Consumer feedback on smart home applications,TOPICS IN GERIATRIC REHABILITATION,,,,,,,,,,activities of daily living; assisted living; assistive technology; gerontologic care; smart technology,ASSISTIVE TECHNOLOGY; OLDER PERSONS; DEVICE USE; ADULTS; CARE; PEOPLE; INDEPENDENCE; ASSISTANCE; DISABILITY; MOBILITY,"Objective: To describe older adults' perceptions and reactions to smart home technologies/applications at the Gator-Tech Smart Home. Method: Three focus groups of older adults with various impairments were held at the University of Florida Gator-Tech Smart Home. Eight technologies/applications were demonstrated and a structured discussion followed each demonstration. Content analysis was used to identify participants' perceptions of smart home technology. Results: Overall, most participants responded favorably toward the smart door and voice activation than any other smart technology/application. Conclusion: The data is being used to modify current smart home applications and guide future smart technology/application design.",,,,,,,,,,,,,,,,,,,,,,,,JAN-MAR,2007,23,1,,,,,60,72,,,,,,,Gerontology; Rehabilitation,,Geriatrics & Gerontology; Rehabilitation,,,,,,,,View Full Record in Web of Science
J,"Mokhtari, G; Anvari-Moghaddam, A; Zhang, Q",,,,"Mokhtari, Ghassem; Anvari-Moghaddam, Amjad; Zhang, Qing",,,A New Layered Architecture for Future Big Data-Driven Smart Homes,IEEE ACCESS,,,,,,,,,,Big data management; Internet of Things; smart home; layered architecture; data-driven services,ENERGY MANAGEMENT; INTERNET; SYSTEM,"In this paper, a new layered architecture is proposed for big data-driven processing and management of future smart homes. The proposed Representational State Transfer (REST)-based architecture includes seven layers: physical, fog-computing, network, cloud-computing, service, session, and application for efficient data exchange and processing tasks of future smart homes. The smart home physical layer includes all the sensing technologies and smart devices within the smart home, which monitors the home environment and its residents. The data of these sensors will be sent to the smart home fog-computing layer that can do limited data storage and processing. Then, all the required data will be sent to the cloud-computing layer using smart home network layer. The cloud-computing layer provides the scalable solution for data processing and storage. The processed data in the cloud-computing layer will be provided as the data-driven services to different smart home and third-party (e.g., smart city) applications via smart home service layer. Based on the proposed architecture, the applications will utilize the session layer and RESTFUL APIs to use the data-driven services of the smart home. The proposed smart home architecture can provide a ubiquitous and shared data environment as the key aspect of Internet-of-Things systems.",,,,,,,,,,,,,,,,,,,,,,,,,2019,7,,,,,,19002,19012,,10.1109/ACCESS.2019.2896403,http://dx.doi.org/10.1109/ACCESS.2019.2896403,,,,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",,Computer Science; Engineering; Telecommunications,,,,,,,,View Full Record in Web of Science
C,"Rasyidah, ZA; Hariati, AH; Rosadah, M; Maryanti, MR",,,IOP Publishing,"Rasyidah, Z. A.; Hariati, A. H.; Rosadah, M.; Maryanti, M. R.",,,Perceptions on smart home concept among the millennials in Johor,4TH INTERNATIONAL CONFERENCE ON CONSTRUCTION AND BUILDING ENGINEERING & 12TH REGIONAL CONFERENCE IN CIVIL ENGINEERING (ICONBUILD & RCCE 2019),IOP Conference Series-Materials Science and Engineering,,,,,,,,,,TECHNOLOGY; ADOPTION; BARRIERS; THINGS,"The concept of smart home is a rising trend within the housing industry in Malaysia. With the advance of technology, homeowners are able to control and monitor their home through the smartphone or other networked device. However, it was discovered that Malaysians are highly reluctant in adopting smart home concept and similar Internet of Things (IoT). Within the smart home market, there were cases where potential home buyer may be unaware of the technology, thus hinder its adoption and further development. This research aims to investigate the awareness of potential home buyers specifically among the young millennials on smart home concept; perception on the factors influencing them to buy and key features that they will consider in buying a smart home. Questionnaire survey has been conducted and descriptive analysis has been used to analyse the data. Findings showed that the knowledge on smart home concept is still low among the target population. Respondents with the intention to buy smart home has chosen 'saving energy, time and money' as the main factor influencing while 'wireless lighting system' as the key features that taken into consideration. These findings may encourage the adoption of the smart home concept among the Millennia Generation in Malaysia and therefore intensify its development in the future.",,,,,,,,,,,,,,,,,,,,,,,,,2020,849,,,,,,,,12055,10.1088/1757-899X/849/1/012055,http://dx.doi.org/10.1088/1757-899X/849/1/012055,,,,"Construction & Building Technology; Engineering, Civil",,Construction & Building Technology; Engineering,,,,,,,,View Full Record in Web of Science
C,"Einarsson, AF; Patreksson, P; Hamdaqa, M; Hamou-Lhadj, A",,"Parashar, M; Jain, H",,"Einarsson, Atli F.; Patreksson, Patrekur; Hamdaqa, Mohammad; Hamou-Lhadj, Abdelwahab",,,SmartHomeML: Towards a Domain-Specific Modeling Language for Creating Smart Home Applications,2017 IEEE 2ND INTERNATIONAL CONGRESS ON INTERNET OF THINGS (IEEE ICIOT),,,,,,,,,,,,"There is an increasing demand for smart home connectivity from controlling the home temperature, to switching light bulbs, controlling the window shades and pet feeders. Smart home control systems such as Amazon Alexa and Google Home provide user interfaces to coordinate the operation of several home appliances. While this facilitate integrating the operations of several appliances, system integrators still need to specify and define the integration and communication logic. This logic depends on both the appliance and the control system providers. This paper introduces SmartHomeML, a domain specific modelling language for smart home applications, that allows users to define new skills (functionalities). SmartHomeML consists of a model designer that supports modelling smart home applications and a model generator that uses template-based transformation to automatically generate smart home device adapters and connectors that conform to the specification of a selected target home control system. We show through an example how to use SmartHomeML to model a smart home service independently from the target smart home provider and then generate Amazon Alexa Skill Adapters and SmartThings SmartApps automatically.",,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,82,88,,10.1109/IEEE.ICIOT.2017.35,http://dx.doi.org/10.1109/IEEE.ICIOT.2017.35,,,,"Computer Science, Theory & Methods; Engineering, Electrical & Electronic",,Computer Science; Engineering,,,,,,,,View Full Record in Web of Science
J,"Marikyan, D; Papagiannidis, S; Alamanos, E",,,,"Marikyan, Davit; Papagiannidis, Savvas; Alamanos, Eleftherios",,,A systematic review of the smart home literature: A user perspective,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,,,,,,,,,,Smart home; Smart technology; Systematic literature review; User perspective,ENERGY MANAGEMENT-SYSTEMS; LONG-TERM-CARE; AGING IN-PLACE; OF-THE-ART; OLDER-ADULTS; INFORMATION-TECHNOLOGY; ASSISTIVE TECHNOLOGIES; ELDERLY-PEOPLE; DESIGN; PERCEPTIONS,"A smart home is a residence equipped with smart technologies aimed at providing tailored services for users. Smart technologies make it possible to monitor, control and support residents, which can enhance the quality life and promote independent living. To facilitate the implementation and adoption of smart home technology it is important to examine the user's perspective and the current state of smart homes. Given the fast pace with which the literature has been developing in this area, there is a strong need to revisit the literature. The aim of this paper is to systematically review the smart home literature and survey the current state of play from the users' perspective. After discussing the systematic methodology, the review presents a comprehensive view of smart home definitions and characteristics. Then the study turns towards a discussion of the smart home types, related services and benefits. After outlining the current state of smart home benefits, the review discusses the challenges and barriers to smart home implementation. This review concludes by providing suggestions for future research.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2019,138,,,,,,139,154,,10.1016/j.techfore.2018.08.015,http://dx.doi.org/10.1016/j.techfore.2018.08.015,,,,Business; Regional & Urban Planning,,Business & Economics; Public Administration,,,,,,,,View Full Record in Web of Science
J,"Mulcahy, R; Letheren, K; McAndrew, R; Glavas, C; Russell-Bennett, R",,,,"Mulcahy, Rory; Letheren, Kate; McAndrew, Ryan; Glavas, Charmaine; Russell-Bennett, Rebekah",,,Are households ready to engage with smart home technology?,JOURNAL OF MARKETING MANAGEMENT,,,,,,,,,,Smart home technology; technology readiness index; consumer engagement; perceived risk; trust,CONSUMER BRAND ENGAGEMENT; SELF-SERVICE TECHNOLOGY; PERCEIVED RISK; CUSTOMER ENGAGEMENT; ELECTRONIC COMMERCE; ENERGY-CONSUMPTION; SCALE DEVELOPMENT; TRUST; READINESS; ADOPTION,"This paper contributes new knowledge regarding consumers' preparedness for smart home technology adoption. This research bridges together three important frameworks - the technology readiness index (TRI) 2.0, consumer engagement, and perceived risk and trust - to understand consumers' intentions to adopt smart home technology. We examine both direct and indirect effects, with results demonstrating the model explains 77% variance of consumers' imagined engagement with smart home technology and 74% variance of intentions to adopt; hence, our model has greater predictive power than others proposed in the literature. Theoretically and managerially, we demonstrate a new pathway to consumers' adoption of smart home technology in two ways. First, we depict the impact of consumers' general perceptions of technology (TRI) on opinions and imagined engagement experiences with smart home technology. Second, we show how opinions and imagined experiences with smart home technology impact their intentions to adopt.",,,,,,,,,,,,,,,,,,,,,,,,Oct-13,2019,35,15-16,,,SI,,1370,1400,,10.1080/0267257X.2019.1680568,http://dx.doi.org/10.1080/0267257X.2019.1680568,,Oct-19,,Business; Management,,Business & Economics,,,,,,,,View Full Record in Web of Science
J,"Klobas, JE; McGill, T; Wang, XQ",,,,"Klobas, Jane E.; McGill, Tanya; Wang, Xuequn",,,How perceived security risk affects intention to use smart home devices: A reasoned action explanation,COMPUTERS & SECURITY,,,,,,,,,,Information security; Internet of Things; Smart home devices; Adoption intention; Demographic differences,INFORMATION PRIVACY; CONSUMER ADOPTION; PLANNED BEHAVIOR; INTERNET; THINGS; TECHNOLOGY; BENEFITS; PERCEPTIONS,"Smart home devices form a significant part of the consumer IoT market yet they have potential security risks. Little is known about how security risk perceptions influence householders' decisions to adopt smart home devices. In order to examine how perceptions of security risks influence intentions to use smart home devices, we test a new model of how perceived security risk affects intention to use smart devices. This model draws on the reasoned action approach from social psychology and proposes that security risk perceptions have an indirect effect on smart home adoption decisions by influencing cognitions that have a more immediate, effect on adoption intentions. The results demonstrated that perceived security risk does have an effect on intentions to use smart home devices and both attitude to use of smart home devices and perceived control over secure use of these devices play a role in this effect, confirming the value of modelling perceived risks as determinants of more direct cognitive antecedents of consumer intentions. We also investigated the role of age and education in smart home adoption decisions and found that older and more highly educated people are more likely to take their own assessments of security risk into account when they make decisions about adoption of smart home devices. Given the role of perceived security risk in influencing consumers' intentions to use smart home devices, enabling, influencing, and guiding consumers to develop the knowledge and skills they need for secure use of smart home devices is of particular importance. The findings of this study suggest several paths of action for information security professionals to achieve this. (C) 2019 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,NOV,2019,87,,,,,,,,101571,10.1016/j.cose.2019.101571,http://dx.doi.org/10.1016/j.cose.2019.101571,,,,"Computer Science, Information Systems",,Computer Science,,,,,,,,View Full Record in Web of Science
C,"Dey, R; Sultana, S; Razi, A; Wisniewski, PJ",,,Assoc Comp Machinery,"Dey, Rajib; Sultana, Sayma; Razi, Afsaneh; Wisniewski, Pamela J.",,,Exploring Smart Home Device Use by Airbnb Hosts,CHI'20: EXTENDED ABSTRACTS OF THE 2020 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,,,,,,,,,,Airbnb; Sharing Economy; Smart home device; Internet of things; Security and privacy,,"An increasing number of Airbnb hosts are using smart home devices to manage their properties; as a result, Airbnb guests are expressing concerns about their privacy. To reconcile the tensions between hosts and guests, we interviewed 10 Airbnb hosts to understand what smart home devices they use, for what purposes, their concerns, and their unmet needs regarding smart home device usage. Overall, hosts used smart home devices to give remote access to their home to guests and safeguard their investment properties against misuse. They were less concerned about guest privacy and felt that smart home devices provided unique value to guests and, thus, a competitive advantage over other Airbnb properties.",,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,LBW082,10.1145/3334480.3382900,http://dx.doi.org/10.1145/3334480.3382900,,,,"Computer Science, Cybernetics",,Computer Science,,,,,,,,View Full Record in Web of Science
